ID,Folder,PDF_File,Category,Page,Product_Title,Description,Price_Formatted,Raw_Price,Extraction_Method,Line_Text
FURN-00001,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,1,Prince,,"₹2,026",2026,ocr,"PRINCE |  | ₹2,026"
FURN-00002,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,2,Quartz,Formedforstillness.,"₹34,000",34000,ocr,"Quartz | Formedforstillness. | ₹34,000"
FURN-00003,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,3,Paradox,Where form meets freedom.,Price on Request,0,ocr,Paradox | Where form meets freedom. | Price on Request
FURN-00004,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,4,Ferrari,Modern comfort.,"₹47,500",47500,ocr,"Ferrari | Modern comfort. | ₹47,500"
FURN-00005,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,5,Valour,Bold in form.,"₹48,500",48500,ocr,"Valour | Bold in form. | ₹48,500"
FURN-00006,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,6,Soho,Moderncomfort.,"₹41,500",41500,ocr,"Soho | Moderncomfort. | ₹41,500"
FURN-00007,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,7,Tiago,Designed for focus.,"₹32,000",32000,ocr,"TIAGO | Designed for focus. | ₹32,000"
FURN-00008,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,8,Allure,LOUNGE CHAIR,"₹28,000",28000,ocr,"Allure | LOUNGE CHAIR | ₹28,000"
FURN-00009,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,9,Pebble,Soft curves.,"₹29,000",29000,ocr,"PEBBLE | Soft curves. | ₹29,000"
FURN-00010,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,10,Crafty,Modern comfort.,"₹32,000",32000,ocr,"Crafty | Modern comfort. | ₹32,000"
FURN-00011,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,11,Marina,LOUNGE CHAIR,"₹28,000",28000,ocr,"MARINA | LOUNGE CHAIR | ₹28,000"
FURN-00012,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,12,Osaka,Sculpted comfort.,"₹32,000",32000,ocr,"Osaka | Sculpted comfort. | ₹32,000"
FURN-00013,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,13,Azzura,Modern comfort.,Price on Request,0,ocr,azzura | Modern comfort. | Price on Request
FURN-00014,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,14,Cassina,Contemporary Comfort,"₹26,000",26000,ocr,"Cassina | Contemporary Comfort | ₹26,000"
FURN-00015,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,15,Meraki,LOUNGE CHAIR,"₹30,000",30000,ocr,"MERAKI | LOUNGE CHAIR | ₹30,000"
FURN-00016,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,16,Scorpio,Curvedfor comfort.,"₹27,000",27000,ocr,"SCORPIO | Curvedfor comfort. | ₹27,000"
FURN-00017,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,17,Tiesto,LOUNGE CHAIR,"₹19,000",19000,ocr,"TIESTO | LOUNGE CHAIR | ₹19,000"
FURN-00018,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,18,Avita,Moderncomfort.,"₹32,000",32000,ocr,"Avita | Moderncomfort. | ₹32,000"
FURN-00019,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,19,June,Comfort that inspires.,"₹35,000",35000,ocr,"June | Comfort that inspires. | ₹35,000"
FURN-00020,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,20,Rolf,Modern comfort.,"₹24,000",24000,ocr,"Rolf | Modern comfort. | ₹24,000"
FURN-00021,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,21,Symphony,Modern comfort.,"₹29,750",29750,ocr,"Symphony | Modern comfort. | ₹29,750"
FURN-00022,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,22,Lancer,Sleek design,"₹41,000",41000,ocr,"Lancer | Sleek design | ₹41,000"
FURN-00023,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,23,Zara,Comfortthat inspires.,"₹39,500",39500,ocr,"Zara | Comfortthat inspires. | ₹39,500"
FURN-00024,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,24,Zara,without arms,"₹37,000",37000,ocr,"Zara | without arms | ₹37,000"
FURN-00025,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,25,Oxy,Modern comfort,"₹32,000",32000,ocr,"oxy | Modern comfort | ₹32,000"
FURN-00026,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,26,Finista,Moderncomfort.,"₹28,000",28000,ocr,"Finista | Moderncomfort. | ₹28,000"
FURN-00027,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,27,Ethan,Sculpted comfort.,"₹28,000",28000,ocr,"Ethan | Sculpted comfort. | ₹28,000"
FURN-00028,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,28,Antonia,Modern comfort.,"₹26,000",26000,ocr,"Antonia | Modern comfort. | ₹26,000"
FURN-00029,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,29,Mackanzy,Modern comfort.,"₹29,000",29000,ocr,"Mackanzy | Modern comfort. | ₹29,000"
FURN-00030,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,30,Mustang,Modern comfort.,"₹29,500",29500,ocr,"mustang | Modern comfort. | ₹29,500"
FURN-00031,A -DIVINE CHAIRS PRICELIST,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,31,Maharaja,Timeless luxury.,"₹32,000",32000,ocr,"Maharaja | Timeless luxury. | ₹32,000"
FURN-00032,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,1,Puffy,ALBERT,"₹2,026",2026,ocr,"PUFFY | ALBERT | ₹2,026"
FURN-00033,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,2,Divin,Libra,₹700,700,ocr,DIVIN | Libra | ₹700
FURN-00034,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,3,Albert,Sculptural design.,"₹6,500",6500,ocr,"Albert | Sculptural design. | ₹6,500"
FURN-00035,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,4,Vin,KINFOLK,"₹8,000",8000,ocr,"VIN | KINFOLK | ₹8,000"
FURN-00036,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,5,Ivine,Moon,"₹6,750",6750,ocr,"IVINE | Moon | ₹6,750"
FURN-00037,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,6,Drift,LIVEREALTIFTLIV,"₹6,500",6500,ocr,"Drift | LIVEREALTIFTLIV | ₹6,500"
FURN-00038,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,7,Vine,Dior,"₹8,250",8250,ocr,"VINE | Dior | ₹8,250"
FURN-00039,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,8,Kinfolk,LINEBENUTIFULEYO,"₹5,750",5750,ocr,"KINFOLK | LINEBENUTIFULEYO | ₹5,750"
FURN-00040,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,9,Vine,Opal,"₹5,500",5500,ocr,"VINE | Opal | ₹5,500"
FURN-00041,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,10,Ivine,Flow,"₹5,750",5750,ocr,"IVINE | Flow | ₹5,750"
FURN-00042,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,11,Bolt,Compact luxury.,"₹9,000",9000,ocr,"Bolt | Compact luxury. | ₹9,000"
FURN-00043,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,12,Hush,Compact luxury,"₹6,250",6250,ocr,"Hush | Compact luxury | ₹6,250"
FURN-00044,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,13,Vini,Mushroom,"₹6,000",6000,ocr,"VINI | Mushroom | ₹6,000"
FURN-00045,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,14,Vine,Vibe,"₹9,000",9000,ocr,"VINE | Vibe | ₹9,000"
FURN-00046,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,15,Astro,Timelessdesign,"₹6,500",6500,ocr,"Astro | Timelessdesign | ₹6,500"
FURN-00047,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,16,Gold,Minimal form.,"₹6,250",6250,ocr,"Gold | Minimal form. | ₹6,250"
FURN-00048,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,17,Kenzi,Modern elegance.,"₹11,000",11000,ocr,"Kenzi | Modern elegance. | ₹11,000"
FURN-00049,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,18,Capsule,Minimal form.,"₹5,500",5500,ocr,"Capsule | Minimal form. | ₹5,500"
FURN-00050,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,19,Kazo,Earthy tones.,"₹8,500",8500,ocr,"Kazo | Earthy tones. | ₹8,500"
FURN-00051,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,20,Vine,Eva,"₹5,500",5500,ocr,"VINE | Eva | ₹5,500"
FURN-00052,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,21,Ivine,Torry,"₹7,750",7750,ocr,"IVINE | Torry | ₹7,750"
FURN-00053,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,22,Vitro,Bold form.,"₹10,250",10250,ocr,"Vitro | Bold form. | ₹10,250"
FURN-00054,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,23,Lume,Compact luxury.,"₹7,000",7000,ocr,"Lume | Compact luxury. | ₹7,000"
FURN-00055,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,24,Snug,Compact luxury.,₹520,520,ocr,Snug | Compact luxury. | ₹520
FURN-00056,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,25,Zoya,Smartdesign.,"₹7,500",7500,ocr,"Zoya | Smartdesign. | ₹7,500"
FURN-00057,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,26,Majesty,Compact luxury.,₹900,900,ocr,Majesty | Compact luxury. | ₹900
FURN-00058,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,27,Divin,Novel,₹900,900,ocr,DIVIN | Novel | ₹900
FURN-00059,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,28,Louis,KINFOL,₹900,900,ocr,Louis | KINFOL | ₹900
FURN-00060,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,29,Drum,Compact luxury.,₹900,900,ocr,Drum | Compact luxury. | ₹900
FURN-00061,A -DIVINE CHAIRS PRICELIST,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,30,Chairs,MY CHAIR MY PRIDE,Price on Request,0,ocr,CHAIRS | MY CHAIR MY PRIDE | Price on Request
FURN-00062,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,1,Sofa,,"₹2,026",2026,ocr,"SOFA |  | ₹2,026"
FURN-00063,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,2,Canvas,Artful comfort,"₹92,000",92000,ocr,"Canvas | Artful comfort | ₹92,000"
FURN-00064,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,3,Vegas,Timeless design.,"₹92,000",92000,ocr,"VEGAS | Timeless design. | ₹92,000"
FURN-00065,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,4,Flame,SOFA,"₹82,000",82000,ocr,"FLAME | SOFA | ₹82,000"
FURN-00066,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,5,Lopez,Curves that welcome.,"₹62,000",62000,ocr,"LOPEZ | Curves that welcome. | ₹62,000"
FURN-00067,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,6,Montana,Craftedwith wood.,"₹72,000",72000,ocr,"MONTANA | Craftedwith wood. | ₹72,000"
FURN-00068,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,7,Arcus,Timeless design.,"₹64,000",64000,ocr,"ARCUS | Timeless design. | ₹64,000"
FURN-00069,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,8,Zara,Timeless design.,"₹84,000",84000,ocr,"ZARA | Timeless design. | ₹84,000"
FURN-00070,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,9,Divin,LIBERTY,"₹98,000",98000,ocr,"DIVIN | LIBERTY | ₹98,000"
FURN-00071,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,10,Vine,LIBERTY,"₹98,000",98000,ocr,"VINE | LIBERTY | ₹98,000"
FURN-00072,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,11,Nova,Modern design.,"₹64,500",64500,ocr,"NOVA | Modern design. | ₹64,500"
FURN-00073,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,12,Curve,VINE,"₹68,000",68000,ocr,"CURVE | VINE | ₹68,000"
FURN-00074,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,13,Meridian,Sophisticated Comfort.,"₹82,000",82000,ocr,"MERIDIAN | Sophisticated Comfort. | ₹82,000"
FURN-00075,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,14,Tiara,Timeless Design.,"₹68,000",68000,ocr,"TIARA | Timeless Design. | ₹68,000"
FURN-00076,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,15,Fortune,VINE,"₹62,000",62000,ocr,"Fortune | VINE | ₹62,000"
FURN-00077,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,16,Chester,Timeless Elegance.,"₹65,000",65000,ocr,"CHESTER | Timeless Elegance. | ₹65,000"
FURN-00078,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,17,New Vogue,Refined Comfort.,"₹58,000",58000,ocr,"NEW VOGUE | Refined Comfort. | ₹58,000"
FURN-00079,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,18,Heritage,"Timeless elegance,crafted forheritage living.","₹65,000",65000,ocr,"HERITAGE | Timeless elegance,crafted forheritage living. | ₹65,000"
FURN-00080,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,19,Vine,ZURICH,"₹98,000",98000,ocr,"VINE | ZURICH | ₹98,000"
FURN-00081,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,20,Vine,Glamour,"₹65,000",65000,ocr,"VINE | Glamour | ₹65,000"
FURN-00082,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,21,Florance,Timeless Design.,"₹54,000",54000,ocr,"FLORANCE | Timeless Design. | ₹54,000"
FURN-00083,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,22,Vine,Imperial,"₹68,000",68000,ocr,"VINE | Imperial | ₹68,000"
FURN-00084,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,23,Tokyo,Timeless design.,"₹51,000",51000,ocr,"TOKYO | Timeless design. | ₹51,000"
FURN-00085,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,24,Saphire,Designed to inspire.,"₹54,500",54500,ocr,"SAPHIRE | Designed to inspire. | ₹54,500"
FURN-00086,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,25,Mapple,Modern comfort.,"₹55,500",55500,ocr,"Mapple | Modern comfort. | ₹55,500"
FURN-00087,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,26,California,DIV.INE,"₹52,000",52000,ocr,"California | DIV.INE | ₹52,000"
FURN-00088,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,27,Oxy,Sophisticated Comfort.,"₹58,000",58000,ocr,"OXY | Sophisticated Comfort. | ₹58,000"
FURN-00089,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,28,Divin,CORBUSIER,"₹63,000",63000,ocr,"DIVIN | CORBUSIER | ₹63,000"
