ID,Folder,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Image_Path,Line_Text
EXT-0002,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,2,Lisbon Cush Woody,Price on Request,0,/extracted_product_images/EXT-0002.jpg,LISBON CUSH WOODY
EXT-0003,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,2,Lisbon Pp,Price on Request,0,/extracted_product_images/EXT-0003.jpg,LISBON PP
EXT-0004,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,3,Vibe,Price on Request,0,/extracted_product_images/EXT-0004.jpg,VIBE
EXT-0005,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,3,Cane Arms,Price on Request,0,/extracted_product_images/EXT-0005.jpg,CANE ARMS
EXT-0006,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,4,Bonny Gold,Price on Request,0,/extracted_product_images/EXT-0006.jpg,BONNY GOLD
EXT-0007,A -DIVINE CHAIRS PRICELIST,CAFE PRICELIST- AUG26.pdf,cafe,4,Fin,Price on Request,0,/extracted_product_images/EXT-0007.jpg,FIN
EXT-0008,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,1,26,₹0,0,/extracted_product_images/EXT-0008.jpg,26000/-
EXT-0009,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,31,₹0,0,/extracted_product_images/EXT-0009.jpg,31000/-
EXT-0010,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,28,₹750,750,/extracted_product_images/EXT-0010.jpg,28750/-
EXT-0011,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,32,₹0,0,/extracted_product_images/EXT-0011.jpg,32000/-
EXT-0012,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,17,₹0,0,/extracted_product_images/EXT-0012.jpg,17000/-
EXT-0013,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,21,₹500,500,/extracted_product_images/EXT-0013.jpg,21500/-
EXT-0014,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,21,₹0,0,/extracted_product_images/EXT-0014.jpg,21000/-
EXT-0015,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,22,₹0,0,/extracted_product_images/EXT-0015.jpg,22000/-
EXT-0016,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,26,₹0,0,/extracted_product_images/EXT-0016.jpg,26000/-
EXT-0017,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,42,₹0,0,/extracted_product_images/EXT-0017.jpg,42000/-
EXT-0018,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,17,₹0,0,/extracted_product_images/EXT-0018.jpg,17000/-
EXT-0019,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,26,₹0,0,/extracted_product_images/EXT-0019.jpg,26000/-
EXT-0020,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,22,₹0,0,/extracted_product_images/EXT-0020.jpg,22000/-
EXT-0021,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,26,₹0,0,/extracted_product_images/EXT-0021.jpg,26000/-
EXT-0022,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,28,₹0,0,/extracted_product_images/EXT-0022.jpg,28000/-
EXT-0023,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,10,₹750,750,/extracted_product_images/EXT-0023.jpg,10750/-
EXT-0024,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,22,₹0,0,/extracted_product_images/EXT-0024.jpg,22000/-
EXT-0025,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,23,₹0,0,/extracted_product_images/EXT-0025.jpg,23000/-
EXT-0026,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,17,₹500,500,/extracted_product_images/EXT-0026.jpg,17500/-
EXT-0027,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,22,₹0,0,/extracted_product_images/EXT-0027.jpg,22000/-
EXT-0028,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,23,₹0,0,/extracted_product_images/EXT-0028.jpg,23000/-
EXT-0029,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,22,₹0,0,/extracted_product_images/EXT-0029.jpg,22000/-
EXT-0030,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,9,14,₹0,0,/extracted_product_images/EXT-0030.jpg,14000/-
EXT-0031,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,11,₹500,500,/extracted_product_images/EXT-0031.jpg,11500/-
EXT-0032,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,18,₹500,500,/extracted_product_images/EXT-0032.jpg,18500/-
EXT-0033,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,12,₹500,500,/extracted_product_images/EXT-0033.jpg,12500/-
EXT-0034,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,34,₹0,0,/extracted_product_images/EXT-0034.jpg,34000/-
EXT-0035,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,22,₹0,0,/extracted_product_images/EXT-0035.jpg,22000/-
EXT-0036,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,42,₹0,0,/extracted_product_images/EXT-0036.jpg,42000/-
EXT-0037,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,23,₹0,0,/extracted_product_images/EXT-0037.jpg,23000/-
EXT-0038,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,17,₹200,200,/extracted_product_images/EXT-0038.jpg,17200/-
EXT-0039,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,16,₹0,0,/extracted_product_images/EXT-0039.jpg,16000/-
EXT-0040,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,18,₹800,800,/extracted_product_images/EXT-0040.jpg,18800/-
EXT-0041,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,23,₹500,500,/extracted_product_images/EXT-0041.jpg,23500/-
EXT-0042,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,23,₹0,0,/extracted_product_images/EXT-0042.jpg,23000/-
EXT-0043,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,14,21,₹500,500,/extracted_product_images/EXT-0043.jpg,21500/-
EXT-0044,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,14,21,₹0,0,/extracted_product_images/EXT-0044.jpg,21000/-
EXT-0045,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,14,19,₹0,0,/extracted_product_images/EXT-0045.jpg,19000/-
EXT-0046,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,15,10,₹500,500,/extracted_product_images/EXT-0046.jpg,10500/-
EXT-0047,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,15,18,₹500,500,/extracted_product_images/EXT-0047.jpg,18500/-
EXT-0048,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,15,Wood,"₹22,500",22500,/extracted_product_images/EXT-0048.jpg,WOOD : 22500/- | METAL : 20000/-
EXT-0049,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,16,19,₹500,500,/extracted_product_images/EXT-0049.jpg,19500/-
EXT-0050,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,16,14,₹500,500,/extracted_product_images/EXT-0050.jpg,14500/-
EXT-0051,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,16,23,₹0,0,/extracted_product_images/EXT-0051.jpg,23000/-
EXT-0052,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,17,16,₹500,500,/extracted_product_images/EXT-0052.jpg,16500/-
EXT-0053,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,17,14,₹0,0,/extracted_product_images/EXT-0053.jpg,14000/-
EXT-0054,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,17,19,₹500,500,/extracted_product_images/EXT-0054.jpg,19500/-
EXT-0055,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,18,21,₹0,0,/extracted_product_images/EXT-0055.jpg,21000/- | BLACK - 21000/-
EXT-0056,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,18,14,₹500,500,/extracted_product_images/EXT-0056.jpg,14500/-
EXT-0057,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,18,23,₹0,0,/extracted_product_images/EXT-0057.jpg,23000/-
EXT-0058,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,19,13,₹750,750,/extracted_product_images/EXT-0058.jpg,13750/-
EXT-0059,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,19,10,₹750,750,/extracted_product_images/EXT-0059.jpg,10750/-
EXT-0060,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,19,11,₹0,0,/extracted_product_images/EXT-0060.jpg,11000/-
EXT-0061,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,20,15,₹0,0,/extracted_product_images/EXT-0061.jpg,15000/-
EXT-0062,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,20,15,₹0,0,/extracted_product_images/EXT-0062.jpg,15000/-
EXT-0063,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,20,16,₹0,0,/extracted_product_images/EXT-0063.jpg,16000/-
EXT-0064,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,21,21,₹0,0,/extracted_product_images/EXT-0064.jpg,21000/-
EXT-0065,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,21,15,₹0,0,/extracted_product_images/EXT-0065.jpg,15000/-
EXT-0066,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,21,15,₹0,0,/extracted_product_images/EXT-0066.jpg,15000/-
EXT-0067,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,22,Pepper,Price on Request,0,/extracted_product_images/EXT-0067.jpg,PEPPER
EXT-0068,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,23,12,₹250,250,/extracted_product_images/EXT-0068.jpg,12250/-
EXT-0069,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,23,11,₹500,500,/extracted_product_images/EXT-0069.jpg,11500/-
EXT-0070,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,24,Softy,Price on Request,0,/extracted_product_images/EXT-0070.jpg,SOFTY
EXT-0071,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,24,Carange,Price on Request,0,/extracted_product_images/EXT-0071.jpg,CARANGE
EXT-0072,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,25,13,₹500,500,/extracted_product_images/EXT-0072.jpg,13500/-
EXT-0073,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,25,10,₹500,500,/extracted_product_images/EXT-0073.jpg,10500/-
EXT-0074,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,26,13,₹0,0,/extracted_product_images/EXT-0074.jpg,13000/-
EXT-0075,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,26,12,₹0,0,/extracted_product_images/EXT-0075.jpg,12000/-
EXT-0076,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,26,14,₹500,500,/extracted_product_images/EXT-0076.jpg,14500/-
EXT-0077,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,27,11,₹0,0,/extracted_product_images/EXT-0077.jpg,11000/-
EXT-0078,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,28,23,₹0,0,/extracted_product_images/EXT-0078.jpg,23000/-
EXT-0079,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,28,14,₹0,0,/extracted_product_images/EXT-0079.jpg,14000/-
EXT-0080,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,1,Collection,Price on Request,0,/extracted_product_images/EXT-0080.jpg,COLLECTION
EXT-0081,A -DIVINE CHAIRS PRICELIST,EXECUTIVE PRICELIST-AUG26.pdf,executive,2,81,₹0,0,/extracted_product_images/EXT-0081.jpg,: 81000/- | MB : 79000/-
