ID,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Line_Text
FURN-00001,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,1,Prince,"₹2,026",2026,"PRINCE |  | ₹2,026"
FURN-00002,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,2,Quartz,"₹34,000",34000,"Quartz | Formedforstillness. | ₹34,000"
FURN-00003,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,3,Paradox,Price on Request,0,Paradox | Where form meets freedom. | Price on Request
FURN-00004,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,4,Ferrari,"₹47,500",47500,"Ferrari | Modern comfort. | ₹47,500"
FURN-00005,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,5,Valour,"₹48,500",48500,"Valour | Bold in form. | ₹48,500"
FURN-00006,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,6,Soho,"₹41,500",41500,"Soho | Moderncomfort. | ₹41,500"
FURN-00007,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,7,Tiago,"₹32,000",32000,"TIAGO | Designed for focus. | ₹32,000"
FURN-00008,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,8,Allure,"₹28,000",28000,"Allure | LOUNGE CHAIR | ₹28,000"
FURN-00009,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,9,Pebble,"₹29,000",29000,"PEBBLE | Soft curves. | ₹29,000"
FURN-00010,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,10,Crafty,"₹32,000",32000,"Crafty | Modern comfort. | ₹32,000"
FURN-00011,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,11,Marina,"₹28,000",28000,"MARINA | LOUNGE CHAIR | ₹28,000"
FURN-00012,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,12,Osaka,"₹32,000",32000,"Osaka | Sculpted comfort. | ₹32,000"
FURN-00013,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,13,Azzura,Price on Request,0,azzura | Modern comfort. | Price on Request
FURN-00014,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,14,Cassina,"₹26,000",26000,"Cassina | Contemporary Comfort | ₹26,000"
FURN-00015,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,15,Meraki,"₹30,000",30000,"MERAKI | LOUNGE CHAIR | ₹30,000"
FURN-00016,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,16,Scorpio,"₹27,000",27000,"SCORPIO | Curvedfor comfort. | ₹27,000"
FURN-00017,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,17,Tiesto,"₹19,000",19000,"TIESTO | LOUNGE CHAIR | ₹19,000"
FURN-00018,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,18,Avita,"₹32,000",32000,"Avita | Moderncomfort. | ₹32,000"
FURN-00019,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,19,June,"₹35,000",35000,"June | Comfort that inspires. | ₹35,000"
FURN-00020,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,20,Rolf,"₹24,000",24000,"Rolf | Modern comfort. | ₹24,000"
FURN-00021,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,21,Symphony,"₹29,750",29750,"Symphony | Modern comfort. | ₹29,750"
FURN-00022,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,22,Lancer,"₹41,000",41000,"Lancer | Sleek design | ₹41,000"
FURN-00023,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,23,Zara,"₹39,500",39500,"Zara | Comfortthat inspires. | ₹39,500"
FURN-00024,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,24,Zara,"₹37,000",37000,"Zara | without arms | ₹37,000"
FURN-00025,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,25,Oxy,"₹32,000",32000,"oxy | Modern comfort | ₹32,000"
FURN-00026,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,26,Finista,"₹28,000",28000,"Finista | Moderncomfort. | ₹28,000"
FURN-00027,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,27,Ethan,"₹28,000",28000,"Ethan | Sculpted comfort. | ₹28,000"
FURN-00028,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,28,Antonia,"₹26,000",26000,"Antonia | Modern comfort. | ₹26,000"
FURN-00029,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,29,Mackanzy,"₹29,000",29000,"Mackanzy | Modern comfort. | ₹29,000"
FURN-00030,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,30,Mustang,"₹29,500",29500,"mustang | Modern comfort. | ₹29,500"
FURN-00031,+ PRINCE SERIES - PRICELIST WEF 1STMAY 2026.pdf,prince,31,Maharaja,"₹32,000",32000,"Maharaja | Timeless luxury. | ₹32,000"
FURN-00032,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,1,Puffy,"₹2,026",2026,"PUFFY | ALBERT | ₹2,026"
FURN-00033,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,2,Divin,₹700,700,DIVIN | Libra | ₹700
FURN-00034,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,3,Albert,"₹6,500",6500,"Albert | Sculptural design. | ₹6,500"
FURN-00035,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,4,Vin,"₹8,000",8000,"VIN | KINFOLK | ₹8,000"
FURN-00036,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,5,Ivine,"₹6,750",6750,"IVINE | Moon | ₹6,750"
FURN-00037,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,6,Drift,"₹6,500",6500,"Drift | LIVEREALTIFTLIV | ₹6,500"
FURN-00038,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,7,Vine,"₹8,250",8250,"VINE | Dior | ₹8,250"
FURN-00039,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,8,Kinfolk,"₹5,750",5750,"KINFOLK | LINEBENUTIFULEYO | ₹5,750"
FURN-00040,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,9,Vine,"₹5,500",5500,"VINE | Opal | ₹5,500"
FURN-00041,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,10,Ivine,"₹5,750",5750,"IVINE | Flow | ₹5,750"
FURN-00042,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,11,Bolt,"₹9,000",9000,"Bolt | Compact luxury. | ₹9,000"
FURN-00043,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,12,Hush,"₹6,250",6250,"Hush | Compact luxury | ₹6,250"
FURN-00044,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,13,Vini,"₹6,000",6000,"VINI | Mushroom | ₹6,000"
FURN-00045,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,14,Vine,"₹9,000",9000,"VINE | Vibe | ₹9,000"
FURN-00046,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,15,Astro,"₹6,500",6500,"Astro | Timelessdesign | ₹6,500"
FURN-00047,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,16,Gold,"₹6,250",6250,"Gold | Minimal form. | ₹6,250"
FURN-00048,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,17,Kenzi,"₹11,000",11000,"Kenzi | Modern elegance. | ₹11,000"
FURN-00049,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,18,Capsule,"₹5,500",5500,"Capsule | Minimal form. | ₹5,500"
FURN-00050,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,19,Kazo,"₹8,500",8500,"Kazo | Earthy tones. | ₹8,500"
FURN-00051,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,20,Vine,"₹5,500",5500,"VINE | Eva | ₹5,500"
FURN-00052,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,21,Ivine,"₹7,750",7750,"IVINE | Torry | ₹7,750"
FURN-00053,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,22,Vitro,"₹10,250",10250,"Vitro | Bold form. | ₹10,250"
FURN-00054,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,23,Lume,"₹7,000",7000,"Lume | Compact luxury. | ₹7,000"
FURN-00055,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,24,Snug,₹520,520,Snug | Compact luxury. | ₹520
FURN-00056,+PUFFY PRICELIST LIFESTYLE- AUG26.pdf,puffy,25,Zoya,"₹7,500",7500,"Zoya | Smartdesign. | ₹7,500"
