ID,Page,Product_Title,Price_Formatted,Raw_Price,Description,Image_Path
PF-001,1,Albert,"₹6,500",6500,Luxury Ottoman Puffy Seating with Premium Cushioning and High-Resilience Fabric.,/extracted_product_images/puffy_001.jpg
PF-002,2,Libra,"₹12,500",12500,Timelesscomfort. | Sculpted for elegance. | WIDTH | FABRIC | HEIGHT | LENGTH | 700mm | 480mm | 480mm | 2.00 Mtr.,/extracted_product_images/puffy_002.jpg
PF-003,3,Hair,"₹6,500",6500,Timelesscomfort. | HEIGHT | LENGTH | WIDTH | FABRIC | 420mm | 420mm | 420mm | 1Mtr.,/extracted_product_images/puffy_003.jpg
PF-004,4,Hairs,"₹8,000",8000,Compact design. | FABRIC | HEIGHT | LENGTH | WIDTH | 1.25Mtr. | 420mm | 420mm | 420mm,/extracted_product_images/puffy_004.jpg
PF-005,5,Moon,"₹6,750",6750,Earthytones. | WIDTH | FABRIC | LENGTH | HEIGHT | 420mm | 440mm | 440mm | 1.25Mtr.,/extracted_product_images/puffy_005.jpg
PF-006,6,Drift,"₹6,500",6500,Compactluxury. | FABRIC | HEIGHT | LENGTH | WIDTH | 1Mtr. | 420mm | 420mm | 420mm,/extracted_product_images/puffy_006.jpg
PF-007,7,Dior,"₹8,250",8250,Timeless comfort. | Sculpted for style. | HEIGHT | LENGTH | WIDTH | FABRIC | 420mm | 420mm | 420mm | 1.25Mtr.,/extracted_product_images/puffy_007.jpg
PF-008,8,Vine,"₹5,750",5750,WIDTH | LENGTH | HEIGHT | FABRIC | 420mm | 420mm | 1.25Mtr. | 420mm,/extracted_product_images/puffy_008.jpg
PF-009,9,Opal,"₹5,500",5500,Minimalform. | LENGTH | HEIGHT | WIDTH | FABRIC | 420mm | 420mm | 420mm | 1.25Mtr.,/extracted_product_images/puffy_009.jpg
PF-010,10,Flow,"₹5,750",5750,LENGTH | WIDTH | FABRIC | HEIGHT | 420mm | 420mm | 420mm | 1.00Mtr.,/extracted_product_images/puffy_010.jpg
PF-011,11,Hair,"₹9,000",9000,Compact luxury. | WIDTH | LENGTH | HEIGHT | FABRIC | 420mm | 500mm | 500mm | 1.50 Mtr.,/extracted_product_images/puffy_011.jpg
PF-012,12,Chair,"₹6,250",6250,Compact luxury. | WIDTH | FABRIC | HEIGHT | LENGTH | 420mm | 420mm | 420mm | 1Mtr.,/extracted_product_images/puffy_012.jpg
PF-013,13,Hairs,"₹6,000",6000,Compactcomfort. | LENGTH | HEIGHT | FABRIC | WIDTH | 420mm | 420mm | 420mm | 1.00Mtr.,/extracted_product_images/puffy_013.jpg
PF-014,14,Vibe,"₹9,000",9000,LENGTH | WIDTH | FABRIC | HEIGHT | 1.50Mtr. | 420mm | 420mm | 420mm,/extracted_product_images/puffy_014.jpg
PF-015,15,Astro,"₹6,500",6500,Timeless design. | HEIGHT | LENGTH | WIDTH | FABRIC | 420mm | 420mm | 420mm | 1Mtr.,/extracted_product_images/puffy_015.jpg
PF-016,16,Gold,"₹6,250",6250,Minimal form. | HEIGHT | LENGTH | WIDTH | FABRIC | 1Mtr. | 420mm | 420mm | 420mm,/extracted_product_images/puffy_016.jpg
PF-017,17,Hair,"₹11,000",11000,WIDTH | LENGTH | HEIGHT | FABRIC | 500mm | 1.00 Mtr. | 420mm | 500mm,/extracted_product_images/puffy_017.jpg
PF-018,18,Capsule,"₹5,500",5500,Minimal form. | HEIGHT | LENGTH | WIDTH | FABRIC | 420mm | 1 Mtr. | 420mm | 420mm,/extracted_product_images/puffy_018.jpg
PF-019,19,Linebeutifuln,"₹8,500",8500,Earthytones. | HEIGHT | WIDTH | FABRIC | LENGTH | 420mm | 440mm | 440mm | 1.50Mtr.,/extracted_product_images/puffy_019.jpg
PF-020,20,Eva,"₹5,500",5500,"Minimal form. | WIDTH | HEIGHT | LENGTH | FABRIC | 1Mtr, | 420mm | 420mm | 420mm",/extracted_product_images/puffy_020.jpg
PF-021,21,Hairs,"₹7,750",7750,"Compact charm, | WIDTH | FABRIC | HEIGHT | LENGTH | 420mm | 420mm | 125Mtr. | 420mm",/extracted_product_images/puffy_021.jpg
PF-022,22,Vitro,"₹10,250",10250,FABRIC | LENGTH | WIDTH | HEIGHT | 420mm | 1Mtr. | 420mm | 420mm,/extracted_product_images/puffy_022.jpg
PF-023,23,Lume,"₹7,000",7000,Compact luxury. | FABRIC | HEIGHT | LENGTH | WIDTH | 1.50Mtr. | 420mm | 420mm | 420mm,/extracted_product_images/puffy_023.jpg
PF-024,24,Hair,"₹10,000",10000,Compactluxury. | FABRIC | HEIGHT | LENGTH | WIDTH | 420mm | 520mm | 520mm | 2.00Mtr.,/extracted_product_images/puffy_024.jpg
PF-025,25,Zoya,"₹7,500",7500,LENGTH | WIDTH | FABRIC | HEIGHT | 420mm | 420mm | 420mm | 1Mtr.,/extracted_product_images/puffy_025.jpg
PF-026,26,Majesty,"₹14,000",14000,Compact luxury | HEIGHT | LENGTH | WIDTH | FABRIC | 420mm | 1.5 Mtr. | 900mm | 420mm,/extracted_product_images/puffy_026.jpg
PF-027,27,Chair,"₹14,000",14000,Compact luxury. | WIDTH | FABRIC | LENGTH | HEIGHT | 1.75 Mtr. | 420mm | 900mm | 420mm,/extracted_product_images/puffy_027.jpg
PF-028,28,Chair,"₹11,000",11000,Compact luxury. | WIDTH | LENGTH | HEIGHT | FABRIC | 420mm | 420mm | 1.75Mtr.,/extracted_product_images/puffy_028.jpg
PF-029,29,Hiniolk,"₹14,000",14000,Compactluxury | WIDTH | LENGTH | FABRIC | HEIGHT | 420mm | 900mm | 900mm | 2.5Mtr.,/extracted_product_images/puffy_029.jpg
PF-030,30,My Chair My Pride,"₹6,500",6500,Luxury Ottoman Puffy Seating with Premium Cushioning and High-Resilience Fabric.,/extracted_product_images/puffy_030.jpg
