ID,Page,Product_Title,Price_Formatted,Raw_Price,Description,Image_Path
WS-001,2,Norway (Imp),"₹34,000",34000,"Glass flled nylon frame with korean mesh in back and seat 3D Adjustable armrest. Innovation mechanism. Two position lock, zero pressure seat. 700 mm Nylon base with 60mm castors & class 4 gas lift.",/extracted_product_images/workstation_001.jpg
WS-002,2,Lido (Imp),"₹19,450",19450,Glass flled nylon back & seat with Korean mesh. Fix PP armrest. Synchro tit cable control mechanism with single position lock. ninium die cast base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_002.jpg
WS-003,2,Smart (Imp),"₹18,500",18500,Glassfilled nylon back with inbuilt lumbar. Fix PU padded armrest. Center tilt mechanism. 650mm grey nylon base with 60 mm nylon castors & class 4 gaslift,/extracted_product_images/workstation_003.jpg
WS-004,2,Brick (Blue / Grey) (Imp),"₹13,500",13500,Glass flled nylon mesh back with lumbar support & fabric seat. Fix PP armrest. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_004.jpg
WS-005,3,Deca (Imp),"₹12,000",12000,Glass flled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Center tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslft.,/extracted_product_images/workstation_005.jpg
WS-006,3,Hexa (Imp),"₹13,500",13500,Glass flled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Synchro tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_006.jpg
WS-007,3,Trio (Grey) (Imp),"₹12,500",12500,Glass flled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Synchro tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslit.,/extracted_product_images/workstation_007.jpg
WS-008,3,Trio (Blk) (Imp),"₹11,500",11500,Glassfilled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Synchro tilt mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_008.jpg
WS-009,4,Pearl (Imp),"₹14,500",14500,Glass flled nylon back with inbuilt lumbar support & fabric seat. Fix PP armrest. Backrest can be reclined. 650mm nylon base with 60 mm nylon castors & class 4 ga,/extracted_product_images/workstation_009.jpg
WS-010,4,Sweety (Grey/Black /Blue) (Imp),"₹8,500",8500,Glass filled nylon mesh back with fixed lumbar support & fabric seat. Fix PP armrest. Center tit mechanism with single position lock. 650mm nylon base with 60 mm nylon castors & class 4 gaslift.,/extracted_product_images/workstation_010.jpg
